Board	Card	Note	StartDate	StartTime	EndDate	EndTime	TrackedTimeHours	Billable
Planner Matheus Raffa	No card	Organização de agenda da semana	2026-07-12	12:28	2026-07-12	13:24	0.93	
Planner Matheus Raffa	No card	Organização de agenda da semana	2026-07-12	15:13	2026-07-12	15:32	0.32	
Planner Matheus Raffa	No card	Proposta NB Advogados - Identidade	2026-07-16	11:04	2026-07-16	11:42	0.63	
Planner Matheus Raffa	No card	Reunião Gabriel	2026-07-17	15:45	2026-07-17	17:15	1.5	
Planner Matheus Raffa	No card	Planejamento da semana	2026-07-19	20:15	2026-07-19	21:00	0.75	
Planner Matheus Raffa	No card	Proposta IAS	2026-07-28	22:17	2026-07-28	23:32	1.25	
Planner Matheus Raffa	No card	Proposta IAS	2026-07-29	09:18	2026-07-29	09:59	0.68	
Planner Matheus Raffa	Verificar cobrança clientes - Julho em diante		2026-07-01	16:33	2026-07-01	17:13	0.67	
Planner Matheus Raffa	Verificar cobrança clientes - Julho em diante		2026-07-01	17:29	2026-07-01	18:13	0.73	
Blue Smoke	No card	Organização financeira	2026-07-01	09:29	2026-07-01	10:04	0.58	
Blue Smoke	No card	Atendimento de pedidos	2026-07-01	11:59	2026-07-01	13:00	1.02	
Blue Smoke	No card	Ajuda com pedidos	2026-07-02	11:33	2026-07-02	13:15	1.7	
Blue Smoke	No card	Organização de carga	2026-07-03	08:32	2026-07-03	08:57	0.42	
Blue Smoke	No card	Ajuda com carga	2026-07-03	14:15	2026-07-03	14:45	0.5	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-05	17:58	2026-07-05	20:04	2.1	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-05	20:29	2026-07-05	21:14	0.75	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-06	08:53	2026-07-06	12:00	3.12	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-06	13:51	2026-07-06	14:51	1	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-06	18:53	2026-07-06	19:02	0.15	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-07	09:50	2026-07-07	10:14	0.4	
Blue Smoke	No card	Correção ataque hacker de pedidos	2026-07-07	10:21	2026-07-07	10:43	0.37	
Blue Smoke	No card	Atendimento comercial	2026-07-07	11:05	2026-07-07	11:17	0.2	
Blue Smoke	No card	Ajustes DNS Estoque BS	2026-07-07	14:02	2026-07-07	14:15	0.22	
Blue Smoke	No card	Organização de carga	2026-07-07	15:25	2026-07-07	15:55	0.5	
Blue Smoke	No card	Atendimento comercial	2026-07-10	09:10	2026-07-10	09:23	0.22	
Blue Smoke	No card	Ajuda com pedidos na loja	2026-07-13	12:29	2026-07-13	13:27	0.97	
Blue Smoke	No card	Atendimento comercial	2026-07-13	14:44	2026-07-13	15:06	0.37	
Blue Smoke	No card	Organização de carga	2026-07-13	18:47	2026-07-13	18:58	0.18	
Blue Smoke	No card	Atendimento Comercial	2026-07-14	09:28	2026-07-14	09:39	0.18	
Blue Smoke	No card	Ajuda com descarregar carro	2026-07-14	14:00	2026-07-14	14:30	0.5	
Blue Smoke	No card	Organização de carga	2026-07-14	22:07	2026-07-14	22:22	0.25	
Blue Smoke	No card	Atendimento comercial	2026-07-15	15:00	2026-07-15	15:30	0.5	
Blue Smoke	No card	Atendimento comercial	2026-07-17	10:14	2026-07-17	10:32	0.3	
Blue Smoke	No card	Ajuda com pedidos	2026-07-17	11:32	2026-07-17	12:30	0.97	
Blue Smoke	No card	Organização da semana	2026-07-19	19:46	2026-07-19	20:12	0.43	
Blue Smoke	No card	Atendimento comercial	2026-07-20	09:12	2026-07-20	09:23	0.18	
Blue Smoke	No card	Pedidos Printi	2026-07-21	10:05	2026-07-21	10:30	0.42	
Blue Smoke	No card	Atendimento comercial	2026-07-22	16:15	2026-07-22	16:57	0.7	
Blue Smoke	No card	Atendimento comercial	2026-07-23	09:08	2026-07-23	09:21	0.22	
Blue Smoke	No card	Atendimento comercial	2026-07-23	11:52	2026-07-23	12:21	0.48	
Blue Smoke	No card	Atendimento comercial	2026-07-23	12:33	2026-07-23	13:04	0.52	
Blue Smoke	No card	Atendimento comercial e ajuda com pedidos	2026-07-24	10:11	2026-07-24	11:44	1.55	
Blue Smoke	No card	Atendimento comercial	2026-07-27	09:26	2026-07-27	09:57	0.52	
Blue Smoke	No card	Atendimento comercial	2026-07-27	11:15	2026-07-27	11:45	0.5	
Blue Smoke	No card	Ajuda com pedidos	2026-07-27	12:00	2026-07-27	12:45	0.75	
Blue Smoke	No card	Atendimento comercial	2026-07-28	09:01	2026-07-28	09:36	0.58	
Blue Smoke	No card	Atendimento comercial	2026-07-28	14:08	2026-07-28	14:17	0.15	
Blue Smoke	No card	Atendimento comercial	2026-07-29	15:00	2026-07-29	15:30	0.5	
Blue Smoke	No card	Descarregar carga	2026-07-29	18:09	2026-07-29	18:54	0.75	
Blue Smoke	No card	Organização de carga	2026-07-30	10:10	2026-07-30	10:33	0.38	
Blue Smoke	No card	Atendimento comercial	2026-07-31	09:02	2026-07-31	09:31	0.48	
Blue Smoke	Cadastros de TCFA IBAMA e Agendas de relatórios de licenças		2026-07-02	15:31	2026-07-02	16:02	0.52	
Blue Smoke	Cadastros de TCFA IBAMA e Agendas de relatórios de licenças		2026-07-02	16:28	2026-07-02	16:32	0.07	
Blue Smoke	Pedidos Printi		2026-07-01	10:07	2026-07-01	10:19	0.2	
Blue Smoke	Cancelar boleto bling - TFL Ref Pedido de origem:#109811	Cancelar boleto bling - TFL Ref Pedido de origem:#109811	2026-07-13	08:45	2026-07-13	09:30	0.75	
Blue Smoke	Descarregar Alexandre		2026-07-22	10:58	2026-07-22	12:30	1.53	
Colégio Clemente Pavan	No card	Programação de fotos e vídeos	2026-07-02	09:03	2026-07-02	09:16	0.22	
Colégio Clemente Pavan	No card	Post - Aventura nas férias CCP	2026-07-03	09:25	2026-07-03	10:07	0.7	
Colégio Clemente Pavan	No card	Post sobre rematrículas 2027 - Abertura	2026-07-06	17:42	2026-07-06	18:17	0.58	
Colégio Clemente Pavan	No card	Verificação do perfil para WhatsApp API + Criação de aplicativo para vincular no CRM	2026-07-08	10:46	2026-07-08	12:30	1.73	Yes
Colégio Clemente Pavan	No card	Verificação do perfil para WhatsApp API + Criação de aplicativo para vincular no CRM	2026-07-08	15:30	2026-07-08	16:05	0.58	Yes
Colégio Clemente Pavan	No card	Verificação do perfil para WhatsApp API + Criação de aplicativo para vincular no CRM	2026-07-08	16:19	2026-07-08	16:55	0.6	Yes
Colégio Clemente Pavan	No card	Verificação do perfil para WhatsApp API + Criação de aplicativo para vincular no CRM	2026-07-09	09:20	2026-07-09	09:36	0.27	Yes
Colégio Clemente Pavan	No card	Automação e fluxo de matrículas para Chatbot DataCrazy	2026-07-14	16:00	2026-07-14	16:30	0.5	Yes
Colégio Clemente Pavan	No card	Automação e fluxo de matrículas para Chatbot DataCrazy	2026-07-15	16:34	2026-07-15	17:32	0.97	Yes
Colégio Clemente Pavan	No card	Automação de movimentação de matriculados do Sponte	2026-07-16	12:45	2026-07-16	13:15	0.5	Yes
Colégio Clemente Pavan	No card	Automação de movimentação de matriculados do Sponte	2026-07-16	14:12	2026-07-16	15:14	1.03	Yes
Colégio Clemente Pavan	No card	Automação de movimentação de matriculados do Sponte	2026-07-16	15:36	2026-07-16	16:21	0.75	Yes
Colégio Clemente Pavan	No card	Automação de movimentação de matriculados do Sponte	2026-07-17	10:42	2026-07-17	11:22	0.67	Yes
Colégio Clemente Pavan	No card	Planner Impresso	2026-07-17	18:30	2026-07-17	19:20	0.83	
Colégio Clemente Pavan	No card	Planner Impresso	2026-07-20	11:42	2026-07-20	12:08	0.43	
Colégio Clemente Pavan	No card	Geração de modelos de IA para painéis	2026-07-22	07:39	2026-07-22	08:31	0.87	
Colégio Clemente Pavan	No card	Produção de brinde de dia dos pais - Arte para lapiseira	2026-07-22	09:05	2026-07-22	09:49	0.73	
Colégio Clemente Pavan	No card	Produção de brinde de dia dos pais - Arte para lapiseira	2026-07-22	16:58	2026-07-22	17:15	0.28	
Colégio Clemente Pavan	No card	Construção de fluxo de boas vindas - Integração com Agenda e Funil 2026.2	2026-07-23	18:33	2026-07-23	19:07	0.57	Yes
Colégio Clemente Pavan	No card	Ajustes e configurações do CRM	2026-07-24	09:31	2026-07-24	09:54	0.38	
Colégio Clemente Pavan	No card	Organização de demandas	2026-07-24	11:48	2026-07-24	12:54	1.1	
Colégio Clemente Pavan	No card	Ajustes em falha no fluxo do n8n de rematrícula	2026-07-27	10:17	2026-07-27	10:34	0.28	
Colégio Clemente Pavan	No card	Ajustes em falha no fluxo do n8n de rematrícula	2026-07-27	10:40	2026-07-27	11:06	0.43	
